astro_sign,title,link,image,Theme,Style Number,Colour,Swing Tag Generation,Tush Tag Generation,Birthday,Release Date,Release Year,Retirement Date,Animal,Subtheme,Size
Taurus,Kenya the Ostrich (Large),https://beaniepedia.com/beanies/beanie-boos/kenya-the-ostrich-large/,https://beaniepedia.com/beanies/files/2020/01/kenyaboo-1.jpg,Beanie Boos,36302,N/A,4,C1,19 May,01/08/2019,2019,-,N/A,None,N/A
Taurus,Kenya the Ostrich (Medium),https://beaniepedia.com/beanies/beanie-boos/kenya-the-ostrich-medium/,https://beaniepedia.com/beanies/files/2020/01/kenyaboo-1-1000x1000.jpg,Beanie Boos,36465,N/A,4,C1,19 May,01/08/2019,2019,-,N/A,None,N/A
Taurus,Kenya the Ostrich,https://beaniepedia.com/beanies/beanie-boos/kenya-the-ostrich/,https://beaniepedia.com/beanies/files/2020/01/kenyaboo-1-1000x1000.jpg,Beanie Boos,36329,N/A,4,C1,19 May,01/08/2019,2019,-,N/A,None,N/A
Sagittarius,Jamal the Camel (Medium),https://beaniepedia.com/beanies/beanie-boos/jamal-the-camel-medium/,https://beaniepedia.com/beanies/files/2020/01/jamalboobuddy.jpg,Beanie Boos,36452,Brown,4,C1,02 December,01/01/2019,2019,-,Camel,None,N/A
Libra,Hyde the Owl,https://beaniepedia.com/beanies/beanie-boos/hyde-the-owl/,https://beaniepedia.com/beanies/files/2020/01/hydeboo.jpg,Beanie Boos,36726,Black,4,C1,21 October,01/06/2019,2019,-,N/A,Halloween,N/A
Cancer,Hennie the Chicken (Large),https://beaniepedia.com/beanies/beanie-boos/hennie-the-chicken-large/,https://beaniepedia.com/beanies/files/2020/01/hennieboolarge.jpg,Beanie Boos,36752,White,4,C1,06 July,01/01/2019,2019,-,N/A,Rural King,N/A
Cancer,Hennie the Chicken,https://beaniepedia.com/beanies/beanie-boos/hennie-the-chicken/,https://beaniepedia.com/beanies/files/2020/01/hennieboo.jpg,Beanie Boos,36272,White,4,C1,06 July,01/01/2019,2019,-,N/A,Rural King,N/A
Scorpio,Henna the Ostrich (Large),https://beaniepedia.com/beanies/beanie-boos/henna-the-ostrich-large/,https://beaniepedia.com/beanies/files/2020/01/hennaboo.jpg,Beanie Boos,36303,Brown,4,C1,13 November,01/08/2019,2019,-,N/A,None,N/A
Scorpio,Henna the Ostrich (Medium),https://beaniepedia.com/beanies/beanie-boos/henna-the-ostrich-medium/,https://beaniepedia.com/beanies/files/2020/01/hennaboo.jpg,Beanie Boos,36468,Brown,4,C1,13 November,01/08/2019,2019,-,N/A,None,N/A
Scorpio,Henna the Ostrich,https://beaniepedia.com/beanies/beanie-boos/henna-the-ostrich/,https://beaniepedia.com/beanies/files/2020/01/hennaboo.jpg,Beanie Boos,36698,Brown,4,C1,13 November,01/08/2019,2019,-,N/A,None,N/A
Gemini,Helena the Unicorn Husky (Medium),https://beaniepedia.com/beanies/beanie-boos/helena-the-unicorn-husky-medium/,https://beaniepedia.com/beanies/files/2020/01/helenaboo.jpg,Beanie Boos,36458,Blue,4,C1,29 May,01/06/2019,2019,-,N/A,None,N/A
Gemini,Helena the Unicorn Husky,https://beaniepedia.com/beanies/beanie-boos/helena-the-unicorn-husky/,https://beaniepedia.com/beanies/files/2020/01/helenaboo.jpg,Beanie Boos,36322,Blue,4,C1,29 May,01/06/2019,2019,-,N/A,None,N/A
Taurus,Heather the Cat (Key Clip),https://beaniepedia.com/beanies/beanie-boos/heather-the-cat-key-clip/,https://beaniepedia.com/beanies/files/2020/01/heatherbookey.jpg,Beanie Boos,35232,Rainbow,4,C1,26 April,01/06/2019,2019,-,N/A,None,N/A
Taurus,Heather the Cat (Large),https://beaniepedia.com/beanies/beanie-boos/heather-the-cat-large/,https://beaniepedia.com/beanies/files/2020/01/heatherboo.jpg,Beanie Boos,36752,Rainbow,4,C1,26 April,01/06/2018,2018,-,N/A,None,N/A
Taurus,Heather the Cat (Medium),https://beaniepedia.com/beanies/beanie-boos/heather-the-cat-medium/,https://beaniepedia.com/beanies/files/2020/01/heatherboo.jpg,Beanie Boos,36154,Rainbow,4,C1,26 April,01/06/2018,2018,-,N/A,None,N/A
Libra,Haunts the Ghost (Medium),https://beaniepedia.com/beanies/beanie-boos/haunts-the-ghost-medium/,https://beaniepedia.com/beanies/files/2020/01/hauntsboo.jpg,Beanie Boos,36689,White,4,C1,23 September,01/08/2019,2019,-,Ghost,Claire's Halloween,N/A
Libra,Haunts the Ghost,https://beaniepedia.com/beanies/beanie-boos/haunts-the-ghost/,https://beaniepedia.com/beanies/files/2020/01/hauntsboo.jpg,Beanie Boos,36689,White,4,C1,23 September,01/08/2019,2019,-,Ghost,Claire's Halloween,N/A
Aquarius,Grindal the Dragon (Medium),https://beaniepedia.com/beanies/beanie-boos/grindal-the-dragon-medium/,https://beaniepedia.com/beanies/files/2020/01/grindalboo.jpg,Beanie Boos,36457,Black,4,C1,30 January,01/06/2019,2019,-,N/A,None,N/A
Aquarius,Grindal the Unicorn Dragon,https://beaniepedia.com/beanies/beanie-boos/grindal-the-unicorn-dragon/,https://beaniepedia.com/beanies/files/2020/01/grindalboo.jpg,Beanie Boos,36321,Black,4,C1,30 January,01/06/2019,2019,-,N/A,None,N/A
Sagittarius,Gale the Penguin (Key Clip),https://beaniepedia.com/beanies/beanie-boos/gale-the-penguin-key-clip/,https://beaniepedia.com/beanies/files/2020/01/galebookey.jpg,Beanie Boos,35223,N/A,4,C1,17 December,01/06/2019,2019,-,N/A,Christmas Winter,N/A
