style_number, astro_sign
36302, Taurus
36465, Taurus
36329, Taurus
36452, Sagittarius
36726, Libra
36752, Cancer
36272, Cancer
36303, Scorpio
36468, Scorpio
36698, Scorpio
36458, Gemini
36322, Gemini
35232, Taurus
36752, Taurus
36154, Taurus
36689, Libra
36689, Libra
36457, Aquarius
36321, Aquarius
35223, Sagittarius
36449, Sagittarius
36681, Sagittarius
, Sagittarius
36298, Sagittarius
36682, Sagittarius
36318, Pisces
-, ERROR
-, ERROR
36680, Libra
34101, Aquarius
36685, Aquarius
36315, Taurus
34106, Aquarius
36686, Aquarius
36463, Gemini
36327, Gemini
36304, Gemini
-, Cancer
-, ERROR
4088, Virgo
04251, Aries
37275, Aries
36331, Aquarius
36444, Leo
36790, Leo
36469, Gemini
36699, Gemini
36553, Libra
36330, Aries
36679, ERROR
38839, Taurus
36453, Taurus
35000, Scorpio
36299, Scorpio
34109, Scorpio
36279, Leo
35224, Aries
36443, Virgo
36276, Virgo
36287, Gemini
36287, Gemini
36459, Gemini
36323, Gemini
36278, Libra
36460, Pisces
36324, Pisces
None, Capricorn
41171, ERROR
41726, ERROR
41728, ERROR
42303, Pisces
42294, ERROR
41222, ERROR
41189, ERROR
41229, ERROR
41701, Taurus
41192, ERROR
41170, ERROR
42183, Sagittarius
41734, ERROR
42301, Leo
41196, ERROR
36657, Leo
41206, Leo
36656, Gemini
41204, Gemini
42185, Sagittarius
41230, ERROR
36561, Sagittarius
36419, Sagittarius
36845, Sagittarius
41280, ERROR
96324, ERROR
41213, ERROR
37219, Virgo
36885, Virgo
36217, Taurus
35212, Cancer
37267, Cancer
36896, Cancer
36563, Taurus
36421, Taurus
36895, Taurus
90257, ERROR
37097, ERROR
37217, ERROR
36747, Taurus
40553, Gemini
40329, Taurus
35038, Gemini
36862, Gemini
37156, Gemini
37230, Gemini
37227, Cancer
37338, Aquarius
37047, Taurus
36170, Taurus
35004, Taurus
37091, Taurus
37211, Taurus
35039, Capricorn
36858, Capricorn
37158, Capricorn
36846, Capricorn
96337, ERROR
41299, ERROR
35013, Sagittarius
36839, Sagittarius
37076, Sagittarius
37255, Sagittarius
37191, Sagittarius
36666, Gemini
35024, Sagittarius
36836, Sagittarius
37096, Sagittarius
37216, Sagittarius
36947, Taurus
37064, Aquarius
37178, Aquarius
36273, Sagittarius
36198, Capricorn
36847, Taurus
35028, Libra
37224, Libra
36830, Sagittarius
37082, Sagittarius
36661, Aquarius
36660, Aquarius
37089, Aquarius
37209, Aquarius
36942, Pisces
36664, Taurus
37179, Taurus
36887, Capricorn
36426, Libra
, Libra
-, Pisces
36200, Capricorn
36663, Aquarius
36662, Aquarius
37069, Taurus
36445, Virgo
36275, Virgo
36285, Scorpio
36827, Taurus
37208, Taurus
41281, ERROR
90252, ERROR
96321, ERROR
41210, ERROR
37159, Scorpio
36876, Scorpio
36280, Aries
37161, ERROR
36868, ERROR
35009, Capricorn
37070, Capricorn
37185, Capricorn
37080, Libra
37193, Libra
35311, Aries
36672, Aries
36764, Taurus
35308, Leo
36762, Leo
35306, Virgo
36677, Taurus
35307, Libra
35305, Taurus
35310, Sagittarius
35302, Aquarius
35303, Leo
35301, Gemini
35300, Pisces
36761, Cancer
35309, Scorpio
36785, Scorpio
36673, Scorpio
35304, Sagittarius
36678, Taurus
36855, Scorpio
35110, Libra
37147, Libra
37236, Libra
36949, Cancer
37199, Aquarius
37077, Capricorn
37195, Capricorn
04194, Aries
35005, Gemini
37063, Gemini
37174, Gemini
35032, Aquarius
37072, Aquarius
37146, Aquarius
37176, Aquarius
37260, Pisces
36879, Pisces
36564, Cancer
36422, Cancer
36941, Cancer
36665, Taurus
41278, ERROR
96320, ERROR
41209, ERROR
36099, Gemini
37162, Gemini
36864, Gemini
11, Aquarius
11, Aquarius
11, Aquarius
6, Taurus
6, Taurus
6, Taurus
3, Capricorn
3, Capricorn
3, Capricorn
9, Virgo
9, Virgo
9, Virgo
12, Leo
12, Leo
12, Leo
8, Aries
8, Aries
8, Aries
1, Aquarius
1, Aquarius
1, Aquarius
9, Pisces
9, Pisces
9, Pisces
10, Cancer
10, Cancer
10, Cancer
5, Aries
5, Aries
